Query,Execution Time (ms),Index Used
"first_name, job_title, company",25,job_title_1_company_1
"first_name, job_title, company",10,job_title_1_company_1
"email, last_name",7,email_1
"title, first_name, last_name",6,first_name_1_last_name_1
"title, first_name, last_name",6,first_name_1_last_name_1
"email, company",5,email_1
"email, last_name",5,email_1
"email, last_name",5,email_1
"email, last_name",6,email_1
"title, first_name, last_name",6,first_name_1_last_name_1
"first_name, job_title, company",6,job_title_1_company_1
"title, first_name, last_name",6,first_name_1_last_name_1
"email, last_name",6,email_1
"title, first_name, last_name",5,first_name_1_last_name_1
"first_name, job_title, company",5,job_title_1_company_1
"first_name, job_title, company",5,job_title_1_company_1
"email, phone_number",5,phone_number_1
"title, first_name, last_name",5,first_name_1_last_name_1
"email, phone_number",6,email_1
"email, phone_number",6,email_1
"email, phone_number",6,email_1
"email, phone_number",6,email_1
"email, phone_number",6,email_1
"email, company",5,email_1
"email, company",5,email_1
"email, last_name",5,email_1
"first_name, job_title, company",6,job_title_1_company_1
"email, phone_number",6,email_1
"email, phone_number",6,phone_number_1
"first_name, job_title, company",5,job_title_1_company_1
"email, last_name",5,email_1
"email, phone_number",5,phone_number_1
"email, company",6,email_1
"email, company",6,email_1
"email, company",6,email_1
"title, first_name, last_name",6,first_name_1_last_name_1
"email, company",6,email_1
"email, last_name",5,email_1
"email, phone_number",5,email_1
"first_name, job_title, company",5,job_title_1_company_1
"email, company",6,email_1
"email, company",6,email_1
"title, first_name, last_name",5,first_name_1_last_name_1
"email, last_name",5,email_1
"email, phone_number",5,phone_number_1
"email, company",6,email_1
"email, phone_number",6,phone_number_1
"email, phone_number",5,phone_number_1
"email, company",5,email_1
"first_name, job_title, company",5,job_title_1_company_1
"email, phone_number",6,email_1
"first_name, job_title, company",6,job_title_1_company_1
"email, company",5,email_1
"email, company",5,email_1
"first_name, job_title, company",6,job_title_1_company_1
"first_name, job_title, company",6,job_title_1_company_1
"title, first_name, last_name",6,first_name_1_last_name_1
"email, last_name",5,email_1
"first_name, job_title, company",5,job_title_1_company_1
"email, company",5,email_1
"title, first_name, last_name",6,first_name_1_last_name_1
"email, company",6,email_1
"first_name, job_title, company",6,job_title_1_company_1
"email, phone_number",5,phone_number_1
"title, first_name, last_name",5,first_name_1_last_name_1
